account,emotion,count
AttentativeAPlate1991,positive,1
AttentativeAllenLight2002,negative,15
AttentativeAllenLight2002,positive,1
AttentativeAllenPlate92,negative,5
AttentativeAllenPlate92,neutral,1
AttentativeAllenPlate92,positive,1
AttentativeAngieBanana,negative,6
AttentativeAntoinettePlate,negative,7
AttentativeAntoinettePlate,positive,1
AttentativeArthurCar,negative,5
AttentativeAvaIcecream,negative,6
AttentativeAvaIcecream,positive,1
AttentativeBBanana,negative,3
AttentativeBBanana,neutral,1
AttentativeBBanana,positive,2
AttentativeBBanana38,negative,1
AttentativeBBanana38,neutral,1
AttentativeBBread,negative,11
AttentativeBBread,neutral,4
AttentativeBHouse,negative,20
AttentativeBHouse,neutral,2
AttentativeBHouse,positive,2
AttentativeBananaAlpers,negative,14
AttentativeBananaAlpers,positive,3
AttentativeBananaEboni,negative,9
AttentativeBananaEboni,positive,2
AttentativeBananaGentry,negative,5
AttentativeBananaJeannine_Chan,negative,5
AttentativeBananaJeannine_Chan,neutral,1
AttentativeBananaJeannine_Chan,positive,1
AttentativeBananaJoe_Gregory,negative,5
AttentativeBananaTiburcio,negative,6
AttentativeBananaTiburcio,positive,2
AttentativeBinderBread23,negative,9
AttentativeBinderBread23,neutral,2
AttentativeBinderBread23,positive,3
AttentativeBluntIcecream31,negative,18
AttentativeBluntIcecream31,neutral,4
AttentativeBluntIcecream31,positive,1
AttentativeBowlBernard_Sutton,negative,2
AttentativeBowlBernard_Sutton,positive,2
AttentativeBowlFrank,negative,2
AttentativeBowlFrank,positive,1
AttentativeBowlKen,negative,11
AttentativeBowlKen,neutral,1
AttentativeBreadGadson,negative,5
AttentativeBreadWendy,negative,11
AttentativeBurkePlate1963,negative,2
AttentativeCCandy,negative,22
AttentativeCCandy,neutral,1
AttentativeCCandy,positive,3
AttentativeCCar,negative,8
AttentativeCCar,neutral,1
AttentativeCCar,positive,2
AttentativeCCar91,negative,4
AttentativeCCar91,neutral,1
AttentativeCHouse,negative,3
AttentativeCIcecream81,negative,2
AttentativeCLight45,negative,4
AttentativeCLight45,positive,1
AttentativeCandyAndrea,negative,11
AttentativeCandyAndrea,neutral,1
AttentativeCandyRivera,negative,4
AttentativeCandyRivera,positive,1
AttentativeCandyYolanda_Ragland,negative,12
AttentativeCandyYolanda_Ragland,neutral,1
AttentativeCandyYolanda_Ragland,positive,1
AttentativeCarCorrigan,negative,16
AttentativeCarCorrigan,neutral,1
AttentativeCarEddie_Havens,negative,4
AttentativeCarJessica_Carpenter,negative,5
AttentativeCarJessica_Carpenter,neutral,3
AttentativeChenowethCar,negative,3
AttentativeCouchAmanda,negative,9
AttentativeCouchAmanda,positive,1
AttentativeCouchDaniel,negative,3
AttentativeCouchDaniel,neutral,2
AttentativeCouchMalcomb,negative,13
AttentativeCouchMalcomb,neutral,1
AttentativeCouchSergio_Gage,negative,9
AttentativeCouchSergio_Gage,positive,1
AttentativeDBanana15,negative,3
AttentativeDBread,negative,6
AttentativeDBread35,negative,4
AttentativeDBread35,neutral,1
AttentativeDCandy,negative,8
AttentativeDCandy,neutral,1
AttentativeDCar,negative,8
AttentativeDLight6,negative,7
AttentativeDLight6,neutral,1
AttentativeDavidBread,negative,12
AttentativeDavidBread,positive,2
AttentativeDavidCandy,negative,4
AttentativeDavidCandy,positive,1
AttentativeDayHouse93,negative,6
AttentativeDayHouse93,positive,1
AttentativeDebraCar,negative,5
AttentativeDebraCar,positive,1
AttentativeDeniseBanana,negative,3
AttentativeDeniseBanana,positive,1
AttentativeDolanPlate,negative,6
AttentativeDouglasIcecream,negative,7
AttentativeEBanana,negative,9
AttentativeEBanana,neutral,2
AttentativeEdwardsCandy,negative,2
AttentativeFCar,negative,17
AttentativeFCar,positive,3
AttentativeFrancisBread2011,negative,6
AttentativeFrancisBread2011,neutral,1
AttentativeGilesPlate,negative,8
AttentativeGilesPlate,positive,2
AttentativeGlesenerHouse,negative,3
AttentativeGlesenerHouse,positive,1
AttentativeGonzalesBread1994,negative,12
AttentativeGonzalesBread1994,neutral,1
AttentativeGonzalesBread1994,positive,1
AttentativeHBowl,negative,9
AttentativeHBowl,positive,1
AttentativeHCar,negative,2
AttentativeHHouse29,negative,3
AttentativeHIcecream25,negative,2
AttentativeHIcecream25,positive,1
AttentativeHaltonIcecream,negative,5
AttentativeHarkeyHouse1974,negative,25
AttentativeHarkeyHouse1974,neutral,1
AttentativeHeatherCouch,negative,2
AttentativeHouseElliott,negative,10
AttentativeHouseFord,negative,3
AttentativeHouseFord,positive,1
AttentativeHouseShane,negative,2
AttentativeHouseShane,neutral,1
AttentativeIcecreamArmstrong,negative,2
AttentativeIcecreamDaniel_Looney,negative,10
AttentativeIcecreamDaniel_Looney,neutral,1
AttentativeIcecreamGregory_Reyes,negative,3
AttentativeIcecreamGregory_Reyes,neutral,1
AttentativeIcecreamMartinez,negative,11
AttentativeIcecreamMartinez,positive,1
AttentativeIcecreamMcdonald,negative,13
AttentativeIcecreamMcdonald,positive,2
AttentativeIcecreamMichelle,negative,6
AttentativeIcecreamMichelle,positive,1
AttentativeIcecreamOrchard,negative,19
AttentativeIcecreamOrchard,neutral,1
AttentativeJBread,negative,16
AttentativeJBread,neutral,1
AttentativeJHouse,negative,6
AttentativeJIcecream,negative,5
AttentativeJIcecream,positive,1
AttentativeJLight,negative,7
AttentativeJLight,neutral,1
AttentativeJLight,positive,2
AttentativeJacksonCar,negative,14
AttentativeJacksonCar,neutral,1
AttentativeJenkinsCar22,negative,9
AttentativeJenniferCandy,negative,2
AttentativeJenniferCandy,neutral,1
AttentativeJenniferCandy,positive,1
AttentativeJohnCar,negative,14
AttentativeJosephLight,negative,22
AttentativeJuanitaLight,negative,8
AttentativeJuanitaLight,neutral,2
AttentativeKBowl,negative,6
AttentativeKBowl,positive,1
AttentativeKHouse,negative,7
AttentativeKHouse,neutral,1
AttentativeKPlate2005,negative,14
AttentativeKPlate2005,positive,2
AttentativeKittelBanana1971,negative,3
AttentativeKyleBread,negative,1
AttentativeKyleBread,neutral,1
AttentativeKyleBread,positive,1
AttentativeLBowl,negative,2
AttentativeLashellBanana,negative,13
AttentativeLashellBanana,positive,1
AttentativeLaskinLight2011,negative,12
AttentativeLaskinLight2011,positive,1
AttentativeLawlessCouch25,negative,8
AttentativeLawlessCouch25,neutral,1
AttentativeLawlessCouch25,positive,1
AttentativeLightMarilee_Bush,negative,7
AttentativeLightMatthew,negative,7
AttentativeLightMatthew,neutral,1
AttentativeLisaBread,negative,10
AttentativeMBowl,negative,10
AttentativeMBowl,neutral,1
AttentativeMBowl,positive,1
AttentativeMBread,negative,4
AttentativeMCar,negative,3
AttentativeMCar,neutral,1
AttentativeMCar,positive,1
AttentativeMCouch1977,negative,5
AttentativeMCouch1977,neutral,1
AttentativeMIcecream,negative,6
AttentativeMIcecream1996,negative,5
AttentativeMLight,negative,8
AttentativeMartinLight,negative,13
AttentativeMcclungLight,negative,4
AttentativeMcclungLight,positive,1
AttentativeMcdonaldBanana,negative,9
AttentativeMooresCar,negative,5
AttentativeOlsonBanana,negative,7
AttentativePBread32,negative,16
AttentativePBread32,neutral,2
AttentativePBread32,positive,5
AttentativePCar,negative,1
AttentativePHouse,negative,2
AttentativePHouse,neutral,2
AttentativePHouse,positive,2
AttentativePIcecream,negative,7
AttentativePIcecream,neutral,1
AttentativePIcecream,positive,2
AttentativePeguesCar75,negative,1
AttentativePenaBread50,negative,10
AttentativePenaBread50,positive,1
AttentativePlateAlysia_Silva,negative,6
AttentativePlateAndrew,negative,3
AttentativePlateDeluna,negative,11
AttentativePlateDeluna,positive,1
AttentativeRBowl,negative,10
AttentativeRIcecream55,negative,7
AttentativeReynoldsBowl1966,negative,9
AttentativeReynoldsBowl1966,positive,1
AttentativeRobertBanana,negative,13
AttentativeRobertBanana,positive,1
AttentativeSBowl,negative,4
AttentativeSBowl,neutral,1
AttentativeSBowl1998,negative,7
AttentativeSBowl1998,positive,1
AttentativeSBread48,negative,3
AttentativeSHouse,negative,4
AttentativeSIcecream,negative,5
AttentativeSherryCar,negative,12
AttentativeSherryCar,positive,1
AttentativeSilversmithCouch,negative,2
AttentativeSmallsLight72,negative,5
AttentativeSmallsLight72,neutral,1
AttentativeSmallsLight72,positive,1
AttentativeSmithBowl23,negative,11
AttentativeSpadaBowl,negative,3
AttentativeStephenHouse,negative,1
AttentativeTIcecream80,negative,2
AttentativeTristanHouse,negative,9
AttentativeTristanHouse,positive,1
AttentativeUHouse29,negative,9
AttentativeUHouse29,positive,1
AttentativeVargasCandy65,negative,4
AttentativeWLight2019,negative,10
AttentativeWLight2019,neutral,2
AttentativeWLight2019,positive,2
AttentativeWarnstaffHouse,negative,13
AttentativeWeyrickIcecream79,negative,3
AttentativeWilsonHouse14,negative,3
AudetMouse35,negative,5
AudetMouse35,positive,3
Audette1998,negative,6
Austin2017,negative,5
Austin56,negative,3
Austin56,positive,1
AyersBear17,negative,8
AyersBear17,neutral,1
Ayres1995,negative,6
Ayres1995,neutral,1
B2007Zavala,negative,12
B58Hairston,negative,5
B68Duckett,negative,4
B69Miller,negative,3
B97Wright,negative,7
B97Wright,neutral,1
B97Wright,positive,1
BAttentativeM,negative,10
BAttentativeM,neutral,2
BAttentativeR,negative,5
BAttentativeR,neutral,1
BAttentativeR,positive,2
BBGirl,negative,3
BBGirl,neutral,1
BBusyObeso,negative,6
BBusyObeso,positive,1
BCandidF,negative,6
BCandidF,neutral,1
BFuriousStewart,negative,1
BGuapoHudson,negative,6
BLazyJuarez,negative,18
BSmartRamos,positive,1
BTallMosley,negative,15
BTallMosley,neutral,2
BTallMosley,positive,1
BaileyFish75,negative,7
BaileyFish75,neutral,3
BakerLion33,negative,3
Baldwin52,negative,4
Barbara1964,negative,3
Barbara1964,positive,1
Barbara2018Frank,negative,11
Barbara2018Frank,positive,1
Barbara50,negative,13
Barbara50,neutral,1
Barbara50,positive,1
BarbaraCuriousA,negative,3
BarbaraCuriousA,neutral,1
BarbaraCuriousA,positive,1
BarbaraOctopus85,negative,6
BarbaraOctopus85,positive,3
Barbara_ParsonsDog19,negative,13
Barbara_RicheyCat65,negative,12
Barbara_RicheyCat65,positive,1
Barbra94Creech,negative,11
Barbra94Creech,neutral,1
Barbra94Creech,positive,1
BarrettoFish2019,negative,7
Barron1984,negative,7
Barron1984,neutral,2
BarryB,neutral,1
Bass1989,negative,2
BeagleMouse1965,negative,8
BeagleMouse1965,neutral,2
Beatrice32,negative,14
Beatrice_Lyons1966,negative,7
Beatrice_Lyons1966,neutral,2
BelmonteLion2019,negative,4
Ben_Garrison12,negative,20
Ben_Garrison12,neutral,1
Benford1973,negative,16
Benford1973,neutral,1
Benford1973,positive,2
Benjamin48,negative,4
BenjaminWhale23,negative,8
BenjaminWhale23,positive,1
BennettBear2017,negative,6
BennettHorse28,negative,3
BeppoTClown,positive,1
Berger30,negative,17
Berger30,positive,1
Bernard1961Dodson,negative,7
Bernard1961Dodson,neutral,1
Bernard32Gonzalez,negative,15
Bernard32Gonzalez,neutral,1
Bernard32Gonzalez,positive,2
Bernice96,negative,9
Bernice96,positive,1
Bernice_Creed14,negative,3
Bernice_Creed14,positive,1
Bernice_EdwardsMouse1991,negative,15
BerrierHorse80,negative,14
BerrierHorse80,neutral,3
Bertha_BrownDog6,negative,3
BessOctopus2011,negative,11
BessOctopus2011,neutral,1
Betty12Black,negative,1
Betty12Black,neutral,1
Betty1984,negative,4
Betty1984,positive,2
Betty1993,negative,5
Betty2004,negative,11
Betty2004,neutral,1
Betty2004,positive,2
Betty41Perez,negative,7
BettyBird1978,negative,10
BettyBird1978,positive,1
BettyFamousClevenger,negative,3
BettyFamousClevenger,neutral,1
Betty_BlackBird1969,negative,5
Betty_BlackBird1969,positive,2
Betty_LoveladyLion60,negative,7
Betty_LoveladyLion60,neutral,1
Betty_LoveladyLion60,positive,4
Beverly12B,negative,5
Beverly12B,positive,1
BeverlySmartC,negative,10
BeverlySmartC,neutral,1
BeverlySmartC,positive,1
Beverly_Lilly65,negative,2
Beverly_Lilly65,positive,3
Bickford1950,negative,13
Bickford1950,neutral,1
BigFan,negative,1
Billie1953Compton,negative,9
Billie1953Compton,positive,2
BillingsDog21,negative,8
BillingsDog21,neutral,1
BillingsDog21,positive,1
Billy2by2,neutral,1
BillyBird57,negative,3
BillyHorse91,negative,5
BillyHorse91,neutral,1
BlaineCat56,negative,2
BlaineCat56,neutral,1
BlaineCat56,positive,1
Blanding58,negative,3
Blanding58,positive,1
BlankCat2006,negative,13
Bobby221,negative,1
BobbyBob,negative,2
Bonanza4Evr,negative,1
Bonanze4Evr,negative,1
Bone2006,negative,5
BoogieBunny,negative,1
Booper,negative,1
Bopper,negative,1
BoredInStMark,negative,12
BoringJoe,negative,1
BorkholderBear1996,negative,10
BowdenMouse1992,negative,5
BowdenMouse1992,positive,1
Bowl0Stones,negative,1
BoyettDog1995,negative,7
BoyettDog1995,positive,2
Brad_Swindler67,negative,8
Brad_Swindler67,neutral,1
Brad_Swindler67,positive,1
Bradford1961,negative,11
BradleyFleetA,negative,4
BradleyFleetA,neutral,1
Bradley_TaylorFish86,negative,7
Bradley_TaylorFish86,neutral,1
BradyFleetP,negative,6
BradyFleetP,positive,1
Branch16,negative,12
BrandenMouse1994,negative,3
BrandenMouse1994,neutral,1
Brandi1970,negative,19
Brandi1970,neutral,1
Brandi1970,positive,1
BrandieFleetRangel,negative,14
BrandieFleetRangel,neutral,1
Brenda97,negative,17
Brenda97,neutral,1
BrendaCuriousNave,negative,6
BrendaCuriousNave,positive,1
BrendaFamousC,negative,8
BrendaFamousC,neutral,1
BrendaFamousC,positive,2
Brenda_BrownCat1985,negative,13
Brenda_BrownCat1985,neutral,2
Brenda_BrownCat1985,positive,1
Brendon28,negative,11
Brendon28,positive,1
Brett77Duggan,negative,8
Brett77Duggan,neutral,1
Brett77Duggan,positive,1
Brian1967,negative,5
Brian1967,positive,1
Brian2Morreale,negative,4
Brian_Barreto1962,negative,5
Brian_Barreto1962,positive,1
Brianne12,negative,1
Bride2Bee,negative,1
BridgetTallB,negative,11
BridgetTallB,neutral,1
BrinkBird82,negative,5
Brinton1953,negative,14
Brinton1953,neutral,2
Brinton1953,positive,1
Brittany_SanchezDog61,negative,8
Brittany_SanchezDog61,neutral,1
Brittany_SanchezDog61,positive,2
Brittney76Patterson,negative,4
Brittney76Patterson,neutral,2
BrittneyDarkYoung,negative,5
BrittneyDarkYoung,positive,1
BroBro,negative,1
BroadviewBoi,negative,1
Brooke78,negative,9
Brooke78,neutral,2
Brooke78,positive,2
Bruce_AppelHorse82,negative,3
Bruce_AppelHorse82,positive,1
Bruce_GuidottiFish1982,negative,12
Bruce_GuidottiFish1982,positive,1
Bryan_Brown1993,negative,9
BuddeOctopus1986,negative,4
Burnside71,negative,14
BurtonFish1983,negative,2
BurtonWhale84,negative,10
BusyABread65,negative,8
BusyAHouse,negative,6
BusyAIcecream,negative,8
BusyAIcecream,neutral,2
BusyAdamsIcecream79,negative,13
BusyAdamsIcecream79,neutral,1
BusyAdamsIcecream79,positive,1
BusyBBanana81,negative,15
BusyBBread,negative,4
BusyBIcecream39,negative,9
BusyBIcecream39,neutral,2
BusyBIcecream39,positive,2
BusyBPlate1981,negative,3
BusyBallLight72,negative,9
BusyBallLight72,neutral,1
BusyBenetCandy,negative,2
BusyBerniceBowl,negative,4
BusyBillyHouse,negative,3
BusyBowlCarrie,negative,15
BusyBowlCarrie,neutral,2
BusyBowlCarrie,positive,1
BusyBowlDow,negative,4
BusyBowlJesus,negative,1
BusyBowlJesus,neutral,1
BusyBowlMary,negative,5
BusyBowlMary,neutral,1
BusyBowlMary,positive,2
BusyBradleyPlate,negative,5
BusyBradleyPlate,neutral,1
BusyBreadAnna_Mcdaniel,negative,1
BusyBreadAnna_Mcdaniel,neutral,1
BusyBreadCarmen_Wentworth,negative,9
BusyBreadCarmen_Wentworth,positive,1
BusyBreadDeleon,negative,7
BusyBreadGerard_Loque,negative,5
BusyBreadGerard_Loque,positive,1
BusyCBanana1953,negative,4
BusyCBanana1953,positive,2
BusyCBowl94,negative,3
BusyCBowl94,neutral,1
BusyCBread32,negative,10
BusyCBread32,positive,1
BusyCCar1963,negative,13
BusyCHouse,negative,11
BusyCHouse,neutral,3
BusyCHouse45,negative,5
BusyCHouse45,positive,1
BusyCIcecream40,negative,1
BusyCandyEula_Bundick,negative,9
BusyCandyManning,negative,8
BusyCandyRachel_Dixon,negative,3
BusyCarLavalette,negative,6
BusyCarMargaret,negative,4
BusyCarMelinda,negative,5
BusyCarpenterCar52,negative,11
BusyCarpenterCar52,neutral,1
BusyCarpenterCar52,positive,3
BusyCouchClyde,negative,9
BusyCouchClyde,neutral,1
BusyCouchClyde,positive,2
BusyCouchDawn,negative,6
BusyCouchGoldstein,negative,10
BusyCouchIda,negative,10
BusyCouchIda,positive,2
BusyCouchKenneth,negative,6
BusyDCandy,negative,8
BusyDCandy,neutral,1
BusyDLight,negative,1
BusyDealBread97,negative,6
BusyDealBread97,positive,1
BusyDuffyCar2,negative,20
BusyDuffyCar2,positive,2
BusyECouch,negative,5
BusyEHouse1971,negative,24
BusyEHouse1971,neutral,1
BusyElizabethBowl,negative,16
BusyElizabethBowl,positive,1
BusyEmeryBread,negative,4
BusyEmeryBread,neutral,2
BusyFBread,negative,4
BusyFlemingPlate,negative,13
BusyFlemingPlate,neutral,1
BusyFlemingPlate,positive,1
BusyGBanana,negative,6
BusyGBowl59,negative,16
BusyGBowl59,positive,2
BusyGraceCar,negative,7
BusyGraceCar,neutral,1
BusyGrimBowl,negative,1
BusyHBanana,negative,1
BusyHBanana,positive,1
BusyHCouch2001,negative,7
BusyHCouch2001,neutral,1
BusyHPlate,negative,9
BusyHPlate,neutral,1
BusyHaroldCandy,negative,4
BusyHenryCandy,negative,3
BusyHenryCandy,positive,1
BusyHouseBrian_Whiteford,negative,4
BusyHouseBrian_Whiteford,positive,1
BusyHouseDigna_Weaver,negative,9
BusyIcecreamAllen,negative,2
BusyIcecreamAllen,positive,1
BusyJBanana,negative,7
BusyJBanana,positive,1
BusyJBanana91,negative,7
BusyJBanana91,neutral,1
BusyJBanana91,positive,1
BusyJBowl,negative,3
BusyJBowl,positive,1
BusyJoHouse,negative,13
BusyJoniBowl,negative,5
BusyJudithIcecream,negative,5
BusyLBanana,neutral,1
BusyLarryBanana,negative,4
BusyLarryBanana,positive,2
BusyLedbetterCouch90,negative,11
BusyLedbetterCouch90,positive,1
BusyLeonCandy,negative,5
BusyLeonCandy,neutral,1
BusyLeonCandy,positive,1
BusyLightJennifer_Gambrill,negative,3
BusyLightJose_Hayes,negative,6
BusyLightJose_Hayes,positive,1
BusyLightMichael,negative,11
BusyLightMichael,neutral,1
BusyLightMichael,positive,1
BusyLightWilma,negative,5
BusyLightWilma,neutral,1
BusyLightWilma,positive,1
BusyMCandy,negative,9
BusyMCandy,neutral,1
BusyMHouse,negative,11
BusyMHouse,positive,1
BusyMarshaBowl,negative,5
BusyMelanieIcecream,negative,3
BusyNCar,negative,11
BusyNCar,positive,3
BusyNHouse,negative,13
BusyOCar,negative,5
BusyOrtegaIcecream,negative,9
BusyPCandy,negative,3
BusyPCandy,positive,1
BusyPamelaCouch,negative,19
BusyPamelaCouch,neutral,2
BusyParkBowl5,negative,15
BusyParkBowl5,neutral,1
BusyPepinPlate,negative,5
BusyPepinPlate,positive,1
BusyPlateSailor,negative,15
BusyPlateVeronica_Mitchell,negative,5
BusyRCandy,negative,10
BusyRCandy,positive,1
BusyRCouch,negative,3
BusyRamseyBread62,negative,7
BusyRamseyBread62,neutral,1
BusyRichardCouch,negative,11
BusyRichardCouch,positive,3
BusyRodrickCar,negative,8
BusyRodrickCar,positive,2
BusyRuthCandy,negative,16
BusyRuthCandy,neutral,2
BusySalibaHouse63,negative,8
BusySalibaHouse63,neutral,1
BusySandersCouch2010,neutral,1
BusySandigoHouse,negative,5
BusySandigoHouse,positive,1
BusyScottBowl,negative,21
BusyScottBowl,positive,1
BusySimonBowl2004,negative,10
BusySmithHouse78,negative,8
BusySmithHouse78,neutral,1
BusySmithHouse78,positive,2
BusySwopeHouse,negative,7
BusySwopeHouse,positive,2
BusySzerszenIcecream55,negative,8
BusySzerszenIcecream55,neutral,1
BusySzerszenIcecream55,positive,1
BusyTrinkleinIcecream,negative,4
BusyTurnerPlate,negative,6
BusyWCouch,negative,13
BusyYBanana,negative,9
BusyYBowl,negative,5
Buterbaugh65,negative,2
C15Davis,negative,2
C1954Lafrance,negative,12
C1954Lafrance,neutral,1
C1954Lafrance,positive,2
C1980Irvin,negative,6
C1980Irvin,neutral,2
C2007Beck,negative,8
C2007Lyford,negative,10
C2007Lyford,positive,3
C2011Murphy,negative,11
C2011Murphy,neutral,1
C2011Murphy,positive,1
C2014Rakes,negative,13
C2014Rakes,positive,1
C2Howell,negative,5
C73Chappell,negative,11
C73Chappell,neutral,1
C73Chappell,positive,1
C88Joiner,negative,8
CAttentativeS,negative,10
CAttentativeS,neutral,1
CBusyEskridge,negative,11
CBusyEskridge,neutral,1
CBusyEskridge,positive,1
CCandidDuran,negative,2
CCandidHodgkiss,negative,4
CCleverL,negative,13
CCleverL,neutral,2
CFamousC,negative,1
CFamousMorrison,negative,2
CFamousMorrison,neutral,1
CObnoxiousTroyer,negative,6
CObnoxiousTroyer,positive,1
CTallRiggs,negative,13
CTallRiggs,neutral,1
CWileyDepeyster,negative,7
CWileyJackson,negative,5
CWileyJackson,neutral,2
CWileyJackson,positive,1
CaldwellLion1958,negative,12
CaldwellLion1978,negative,17
CaldwellLion1978,positive,4
Callie89C,negative,7
Callie89C,neutral,1
Camille2007,negative,4
CampbellWhale97,negative,11
CampbellWhale97,neutral,1
CanAdoreThedore23,negative,9
CanAdoreThedore23,neutral,2
CanAdoreThedore23,positive,1
CanStopTheFeeling,negative,1
CanStopTheFeeling,positive,1
CandidABanana1967,negative,1
CandidABanana1967,positive,1
CandidALight,negative,19
CandidALight,positive,3
CandidAPlate,negative,4
CandidAPlate,positive,1
CandidBBanana,negative,4
CandidBHouse2006,negative,6
CandidBHouse2006,neutral,1
CandidBHouse2006,positive,1
CandidBIcecream,negative,4
CandidBIcecream,neutral,1
CandidBananaBaker,negative,3
CandidBananaBaker,positive,1
CandidBananaJacqueline_Kimbrough,negative,5
CandidBananaJacqueline_Kimbrough,neutral,1
CandidBilboPlate1983,negative,13
CandidBilboPlate1983,positive,1
CandidBlendenPlate,negative,12
CandidBlendenPlate,neutral,2
CandidBlendenPlate,positive,4
CandidBowlArmando,negative,15
CandidBowlEdna,negative,4
